Localidad,UPZ,Barrio
Teusaquillo,La Esmeralda (UPZ 106),Pablo VI
Teusaquillo,La Esmeralda (UPZ 106),Quirinal
Teusaquillo,La Esmeralda (UPZ 106),Rafael Núñez
Teusaquillo,Quinta Paredes (UPZ 107),Acevedo Tejada
Teusaquillo,Quinta Paredes (UPZ 107),Cama Vieja
Teusaquillo,Quinta Paredes (UPZ 107),Centro Nariño
Teusaquillo,Quinta Paredes (UPZ 107),El Recuerdo
Teusaquillo,Quinta Paredes (UPZ 107),Quinta Paredes
Teusaquillo,Ciudad Salitre Oriental (UPZ 109),Ciudad Salitre Nororiental
Teusaquillo,Ciudad Salitre Oriental (UPZ 109),Ciudad Salitre Suroriental
Los Mártires,Santa Isabel (UPZ 37),Eduardo Santos
Los Mártires,Santa Isabel (UPZ 37),El Progreso
Los Mártires,Santa Isabel (UPZ 37),El Vergel
Los Mártires,Santa Isabel (UPZ 37),Santa Isabel
Los Mártires,Santa Isabel (UPZ 37),Veraguas
Los Mártires,La Sabana (UPZ 102),Colseguros
Los Mártires,La Sabana (UPZ 102),El Listón
Los Mártires,La Sabana (UPZ 102),Florida
Los Mártires,La Sabana (UPZ 102),La Estanzuela
Los Mártires,La Sabana (UPZ 102),La Favorita
Los Mártires,La Sabana (UPZ 102),La Pepita
Los Mártires,La Sabana (UPZ 102),La Sabana
Los Mártires,La Sabana (UPZ 102),Paloquemao
Los Mártires,La Sabana (UPZ 102),Panamericano
Los Mártires,La Sabana (UPZ 102),Pensilvania
Los Mártires,La Sabana (UPZ 102),Ricaurte
Los Mártires,La Sabana (UPZ 102),Samper Mendoza
Los Mártires,La Sabana (UPZ 102),San Façon
Los Mártires,La Sabana (UPZ 102),San Victorino
Los Mártires,La Sabana (UPZ 102),Santa Fe
Los Mártires,La Sabana (UPZ 102),Usatama
Los Mártires,La Sabana (UPZ 102),Voto Nacional
Antonio Nariño,Ciudad Jardín (UPZ 35),Caracas
Antonio Nariño,Ciudad Jardín (UPZ 35),Ciudad Berna
Antonio Nariño,Ciudad Jardín (UPZ 35),Ciudad Jardín Sur
Antonio Nariño,Ciudad Jardín (UPZ 35),La Hortúa
Antonio Nariño,Ciudad Jardín (UPZ 35),Policarpa
Antonio Nariño,Ciudad Jardín (UPZ 35),Sevilla
Antonio Nariño,Restrepo (UPZ 38),Eduardo Freí
Antonio Nariño,Restrepo (UPZ 38),La Fragua
Antonio Nariño,Restrepo (UPZ 38),La Fraguita
Antonio Nariño,Restrepo (UPZ 38),Restrepo
Antonio Nariño,Restrepo (UPZ 38),San Antonio
Antonio Nariño,Restrepo (UPZ 38),San Jorge Central
Antonio Nariño,Restrepo (UPZ 38),Santander
Antonio Nariño,Restrepo (UPZ 38),Cinco de Noviembre
Antonio Nariño,Restrepo (UPZ 38),Villa Mayor
Antonio Nariño,Luna (UPZ 39),Luna Park (incluye Bima y San Antonio)
Antonio Nariño,Luna (UPZ 39),Vergel Central (parte sur)
Puente Aranda,Ciudad Montes (UPZ 40),Bochica
Puente Aranda,Ciudad Montes (UPZ 40),Carabelas
Puente Aranda,Ciudad Montes (UPZ 40),Ciudad Montes
Puente Aranda,Ciudad Montes (UPZ 40),El Sol
Puente Aranda,Ciudad Montes (UPZ 40),Jazmín
Puente Aranda,Ciudad Montes (UPZ 40),Jorge Gaitán Cortés
Puente Aranda,Ciudad Montes (UPZ 40),La Asunción
Puente Aranda,Ciudad Montes (UPZ 40),La Camelia
Puente Aranda,Ciudad Montes (UPZ 40),La Guaca
Puente Aranda,Ciudad Montes (UPZ 40),Los Comuneros
Puente Aranda,Ciudad Montes (UPZ 40),Ponderosa
Puente Aranda,Ciudad Montes (UPZ 40),Primavera
Puente Aranda,Ciudad Montes (UPZ 40),Remanso
Puente Aranda,Ciudad Montes (UPZ 40),San Eusebio
Puente Aranda,Ciudad Montes (UPZ 40),Santa Matilde
Puente Aranda,Ciudad Montes (UPZ 40),Tibaná
Puente Aranda,Ciudad Montes (UPZ 40),Torremolinos
Puente Aranda,Ciudad Montes (UPZ 40),Villa Inés
Puente Aranda,Muzú (UPZ 41),Alquería
Puente Aranda,Muzú (UPZ 41),Estación Central
Puente Aranda,Muzú (UPZ 41),Milenta
Puente Aranda,Muzú (UPZ 41),Muzú
Puente Aranda,Muzú (UPZ 41),Ricaurte
Puente Aranda,Muzú (UPZ 41),San Francisco
Puente Aranda,Muzú (UPZ 41),Techo
Puente Aranda,San Rafael (UPZ 43),El Arpa y La Lira
Puente Aranda,San Rafael (UPZ 43),Galán
Puente Aranda,San Rafael (UPZ 43),La Pradera
Puente Aranda,San Rafael (UPZ 43),La Trinidad
Puente Aranda,San Rafael (UPZ 43),San Gabriel
Puente Aranda,San Rafael (UPZ 43),San Rafael
Puente Aranda,San Rafael (UPZ 43),San Rafael Industrial
Puente Aranda,Zona Industrial (UPZ 108),Cundinamarca
Puente Aranda,Zona Industrial (UPZ 108),El Ejido
Puente Aranda,Zona Industrial (UPZ 108),Gorgonzola
Puente Aranda,Zona Industrial (UPZ 108),Industrial Centenario
Puente Aranda,Zona Industrial (UPZ 108),La Florida Occidental
Puente Aranda,Zona Industrial (UPZ 108),Los Ejidos
Puente Aranda,Zona Industrial (UPZ 108),Pensilvania
Puente Aranda,Puente Aranda (UPZ 111),Batallón Caldas
Puente Aranda,Puente Aranda (UPZ 111),Centro Industrial
Puente Aranda,Puente Aranda (UPZ 111),Ortezal
Puente Aranda,Puente Aranda (UPZ 111),Puente Aranda
Puente Aranda,Puente Aranda (UPZ 111),Salazar Gómez
La Candelaria,Candelaria (UPZ 94),Belén
La Candelaria,Candelaria (UPZ 94),Candelaria
La Candelaria,Candelaria (UPZ 94),Centro Administrativo
La Candelaria,Candelaria (UPZ 94),Egipto (parte)
La Candelaria,Candelaria (UPZ 94),Guavio (parte)
La Candelaria,Candelaria (UPZ 94),La Catedral
La Candelaria,Candelaria (UPZ 94),La Concordia
La Candelaria,Candelaria (UPZ 94),Las Aguas
La Candelaria,Candelaria (UPZ 94),Nueva Santa Fe de Bogotá
La Candelaria,Candelaria (UPZ 94),Santa Bárbara
Rafael Uribe Uribe,San José (UPZ 36),Antonia Santos
Rafael Uribe Uribe,San José (UPZ 36),Atenas
Rafael Uribe Uribe,San José (UPZ 36),Carmen Del Sol
Rafael Uribe Uribe,San José (UPZ 36),Gustavo Restrepo
