conjunto,administración,estrato,antiguedad,remodelado,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,deposito,porteria,zona_de_lavanderia,gas,parqueadero,precio,direccion,nombre,descripcion,barrio
Reservado 139,181100,2,11,No,44.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,No,160000000.0,Calle 139 # 99 - 30,Reservado 139,"Apartamento en venta de 44m2, con vista interior, ubicado en un 1er piso (Torre 3 Apto 101). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámicoen todas sus zonas. El conjunto cuenta con parque infantil, zonas verdes, bicicletero y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial y Centro Suba; cerca a almacenes de cadena como Éxito, D1, Ara y Surtimax; cerca a Colegio Filarmónico Simón Bolívar - Sede A y Liceo Campestre Freinet del Norte; cerca a Uniagustiniana - Campus Suba; cerca a estacion de Transmilenio La Campiña y Portal Suba; Vías de acceso por calle 145 y cra 104.",EL RINCON
Portal de Molinos 2,95700,3,7,Si,45.0,3,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,154000000.0,Transversal 6b bis #48k-65sur,Portal de Molinos 2,"Apartamento en venta de 45m², ubicado en un 9no piso (Torre 7 Apto 905). Con vista exterior, acceso por ascensor, con piso cerámico en todas sus zonas. Cuenta con 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. El conjunto cuenta con salón comunal, zonas para niños y vigilancia privada las 24 horas. Cerca a Centros Comerciales como Surtidora Senial; cerca a almacenes de cadena como Surtimax; con vías de acceso por la Calle 49B Sur y Cra 9; cerca a estación de Transmilenio Portal de Usme.",MARRUECOS
Torres de Tintala 1,82000,2,16,No,42.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,140000000.0,Calle 6bisa # 90a - 50,Torres de Tintala 1,"Apartamento en venta de 42m2, con vista exterior, ubicado en un 4to piso (Torre 16 Apto 402), acceso por escaleras. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con cancha multiple, salón comunal, zonas verdes, zona de niños, parqueadero comunal descubierto y vigilancia privada las 24 horas. Cerca a centro comercial Tintal Plaza; cerca a almacenes de cadena Exito, Drogueria y supermercado colsubsidio; cerca a colegio Gimnasio Moderno San Francisco, colegio IED Gabriel Betancourt Mejía Sede A; cerca a Paraderos del SITP; Vías de acceso por la carrera 90 y calle 6 bis a.",CALANDAIMA
Conjunto Residencial Ciudad Central,102000,2,6,Si,47.0,2,1,0,1,Apartamento,0,24 hrs,Comunal,Si,No,166000000.0,Calle 57r # 73i - 35,Conjunto Residencial Ciudad Central,"Apartamento en venta de 47m2, con vista interior, ubicado en un 4to piso (Torre 2 Apto 411), con acceso por ascensor. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón Comunal, terraza BBQ, zona para niños y vigilancia las 24 horas. Cerca a centros comerciales como Metro Sur y Paseo Villa del Río; cerca a almacenes de cadena como D1, Makro, Ara y Olímpica; cerca a estación de Transmilenio Portal del Sur; con vías de acceso por la Cra 73I y Autopista al Sur.",ISMAEL PERDOMO
Arcadia I,160600,4,12,No,61.0,3,2,0,0,Apartamento,0,24 hrs,Comunal,Si,Si,255000000.0,Calle 169 # 16C - 10,Arcadia I,"Apartamento en venta de 61m2, con vista exterior, ubicado en un 6to piso (Torre 4 Apto 603), acceso por escaleras. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con vigilancia las 24 horas, zona para niños y zonas verdes. Cerca a centro comercial Panamá; cerca a almacenes de cadena como D1, Éxito y PriceSmart; cerca a estación Transmilenio como Portal del Norte. Vías de acceso por la Calle 169 y la Carrera 16C.",TOBERIN
Bosques del Portal ,70000,3,9,Si,47.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,174500000.0,Carrera 73 # 57R-15,Bosques del Portal,"Apartamento en venta de 47m2, con vista exterior, ubicado en un 6to piso (Torre 12 Apto 603), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en la totalidad de sus espacios. El Conjunto cuenta con zona de niños, salón social, zonas verdes, BBQ, Canchas de juego y vigilancia privada las 24 horas. Cerca a centros comercial Metro Sur ; cerca a almacenes de cadena como D1, Tiendas Ara y Éxito; cerca a colegios San Isidro Labrador y Colombo Japonés; cerca a universidad ECCI y Politécnico Gran Colombiano; cerca a estación de Transmilenio Portal Sur; Vías de acceso por la Autopista Sur  y Trasversal 73B
",ISMAEL PERDOMO
Cedro Golf 26B,174908,4,39,No,74.0,2,2,1,0,Apartamento,0,No,No Tiene,Si,No,300000000.0,Calle 152 # 7H-40,Cedro Golf 26B,"Apartamento en venta de 74m2, con vista exterior, ubicado en un 3er piso  (Apto 304), acceso por escaleras, Consta de 2 habitaciones, altillo, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en sala comedor, alfombra en habitaciones y ceramico en cocina y baños, El edificio cuenta con salón social, parqueaderos comunal, Cerca a centro comercial Show Place, cerca a almacenes de cadena Surtimax y Carulla,  cerca a colegio Institución Educativa Distrital Agustín Fernández y colegio Provinma Bilingüe, Cerca a Paraderos de transporte Sitp y estacion calle 155, Vías de acceso por Calle 153 Y Avenida 9a.",LOS CEDROS
Quintas de la Sabana 2,179800,2,9,Si,54.0,2,1,0,0,casa con conjunto cerrado,0,24 hrs,No Tiene,Si,No,184600000.0,Diagonal 77 # 123 a - 88,Quintas de la Sabana 2,"Casa en venta de 54m2, con vista exterior, (Casa 114), acceso directo desde el exterior. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón social, terraza bbq, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Unicentro de Occidente cerca a almacenes de cadena como Carulla y Éxito; cerca a colegio Católico de la Sabana; cerca a paraderos del SITP; Vías de acceso por la calle 80 y Diagonal 77.",GARCES NAVAS
Edificio Luces de San Miguel ,360000,4,6,Si,72.0,2,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,No,419000000.0,Carrera 50 a # 65 - 59,Edificio Luces de San Miguel,"Apartamento en venta de 72m2, con vista exterior, ubicado en un 4to piso (Apto 405), acceso por escaleras y ascensor, parqueadero propio cubierto (08). Consta de 2 habitaciones, 2 baños, sala comedor, balcón (3m2), cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con terraza y sistema de seguridad mediante controles para parqueadero, chip y llave entrada peatonal. Cerca a centro comercial San Miguel, cerca a almacenes de cadena Alkosto; cerca a colegio Jorge Eliecer Gaitan ; cerca a universidad de Ciencias de la Salud; cerca a estación de Transmilenio Simon Bolivar; Vías de acceso por la carrara 30 y calle 68.",DOCE DE OCTUBRE
Santillana,400000,5,26,No,71.0,3,2,1,0,Apartamento,1,24 hrs,No Tiene,Si,No,296000000.0,Carrera 69 D # 96 - 39,Santillana,"Apartamento en venta en venta de 71m2 con vista interior, ubicado en un 3er piso (Torre 6 Apto 314), acceso por Escaleras, parqueadero propio cubierto (54) y depósito (42). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso Laminado en habitaciones y cerámico en zona social, baños y cocina. El conjunto cuenta con bicicletero y vigilancia privada las 24 horas. Cerca a centro comercial  Cafam Floresta; cerca a almacenes de cadena d1; cerca a colegio Julio Florez, cerca a estación de Transmilenio Avenida 68, Vías de acceso por la Calle 80 y Calle 97.",LA FLORESTA
Porvenir Reservado 9,63600,2,12,No,41.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,120000000.0,Calle 56fsur # 93c-42,Porvenir Reservado 9,"Apartamento en venta de 41m2, con vista exterior, ubicado en un 4to piso (Torre 2 Apto 402), acceso por escaleras. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona infantil, salón social, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centros comerciales Milenio Plaza, Trebolis el Porvenir; cerca a almacenes de cadena como Colsubsidio y D1; cerca a colegio Fe y Alegría San Ignacio; cerca a universidad Francisco José De Caldas; cerca a estación de Transmilenio Patio Bonito; Vías de acceso por la Carrera 93c y Calle 56f sur.",EL PORVENIR
Ventura,171000,3,25,No,68.0,3,2,1,0,Apartamento,0,No,No Tiene,Si,Si,239580000.0,Carrera 100 # 138 A - 06,Ventura,"Apartamento en venta de 68m2, con vista exterior, ubicado en un 3er piso (Apto 312), acceso por escaleras, parqueadero propio cubierto (1). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Centro Suba, Centro Comercial Subazar; cerca a almacenes de cadena como Exito, Ara y D1; cerca a colegio Álvaro Gómez Hurtado, Colegio Privado Liceo Riobamba y Colegio Liceo Infantil Retoñitos; cerca a universidad Politécnico Grancolombiano; cerca a estacion de Transmilenio la campiña; Vías de acceso por la Calle 137 y Carrera 98.  ",EL RINCON
Orquídeas ,250000,3,32,Si,61.0,3,2,1,0,Apartamento,0,No,No Tiene,Si,No,255000000.0,Calle 163 # 16a-19,Orquídeas,"Apartamento en venta de 60m2, con vista exterior, ubicado en un 3er piso (Apto 302), acceso por escaleras, parqueadero propio cubierto (5). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con controles y llaves de acceso. Cerca de centro comercial Mediterráneo; cerca de almacenes de cadena Ara; cerca a colegio Distrital Toberín; cerca a universidad San Buenaventura; cerca a estación de paraderos de SITP; Vías de acceso por la calle 161 y carrera 15.",TOBERIN
Plazuela De Las Américas 2,143000,3,22,Si,75.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,,No,276000000.0,Calle 22sur # 69 - 59,Plazuela De Las Américas 2,"Apartamento en venta de 75m2, con vista interior, ubicado en un 4to piso (Torre 8 Apto 404), acceso por escaleras. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social. El conjunto cuenta con parque infantil zonas verdes, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial universal plaza, Plaza las Américas; cerca a almacenes de cadena como Éxito, Surtimax, Ara y D1; cerca a colegio Pedagógico Jaime Alberto Bonilla Nieto, Carlos Arango Vélez, Militar Manuel Murillo toro; cerca a universidad Sena Unimonserrate; cerca a estación de Transmilenio Pradera; Vías de acceso por la carrera 69ay Calle 22 sur.",AMERICAS
El Oasis,157000,3,8,No,44.0,3,1,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,200000000.0,Calle 60sur # 70-90,El Oasis,"Apartamento en venta de m2, con vista exterior, ubicado en un 11avo piso (Torre 1 Apto 1105), acceso por escaleras, parqueadero propio cubierto (110). Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso ceramico en todas sus zonas. El conjunto cuenta con zona BBQ , Parque para niños, salón comunal, piscina y vigilancia privada las 24 horas. Cerca a centro comercial Gran Plaza el Ensueño; cerca a almacenes de cadena como easy; cerca a colegio Teatro y Colegio el Ensueño; cerca a universidad Distrital; cerca a estación de paradas alimentadoras y paraderos del SITP ; Vías de acceso por transversal 70D y carrera 67.",ARBORIZADORA
Simon Bolivar,317100,3,28,No,61.0,2,1,1,0,Apartamento,0,24 hrs,No Tiene,Si,Si,280000000.0,Carrera 65 # 79a-80,Simon Bolivar,"Apartamento en venta de 61m2, con vista interior, ubicado en un 4to piso (Torre B Apto 401), acceso por escaleras, parqueadero propio cubierto (13). Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso pvc en habitaciones y zona social y cerámico en baños y cocina. El Edificio cuenta con zonas verdes, bicicletero, zona bbq y vigilancia privada las 24 horas. Cerca a centro comercial Metrópolis; cerca a almacenes de cadena Jumbo, Exito y D1; cerca a colegio Juan Del Corral; cerca a universidad Cafam; cerca a estacion de Transmilenio Avenida 68; Vías de acceso por la Calle 78 y Carrera 68.",DOCE DE OCTUBRE
Mirador de Corinto Reservado,215800,3,6,No,66.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,No,230000000.0,Calle 127 # 104A-10,Mirador de Corinto Reservado,"Apartamento en venta de 66m2, con vista exterior, ubicado en un 2do piso (Torre 1 Apto 213), parqueadero propio cubierto (316). Acceso por ascensor. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón social, zona de niños, gimnasio, terraza y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial; cerca a almacenes de cadena como D1 y Surtimax ; cerca a colegio Nueva Colombia; cerca a estación de Transmilenio Portal Suba; Vías de acceso por la Calle 127 y A.V Ciudad de Cali.",EL RINCON
California Antigua 4,570000,4,12,Si,62.0,2,2,1,1,Apartamento,1,24 hrs,No Tiene,Si,Si,400000000.0,carrera 9b # 134b - 61,California Antigua 4,"Apartamento en venta de 62m2, con vista interior, ubicado en un 4to piso (Apto 401), acceso por ascensor, parqueadero propio cubierto (16) y depósito (12). Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. Cerca a centro comercial Unicentro y Palatino; cerca a almacenes de cadena como Carulla, Éxito, D1 y Ara; cerca a Instituto Pedagógico Nacional y Gimnasio Femenino; cerca a universidad El Bosque; Vías de acceso por calle 134b y carrera 9na b.",LOS CEDROS
La Armonía,139000,2,10,Si,45.0,3,2,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,186000000.0,Calle 7d # 81b - 03,La Armonía,"Apartamento en venta de 45m2, con vista interior, ubicado en un 6to piso (Torre 1 Apto 602), acceso por ascensor. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus y zonas. El conjunto cuenta con salón comunal, zonas verdes, zona para niños, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Tintal Plaza y Ciudad Tintal; cerca a almacenes de cadena como Ara y D1; cerca a Colegio San José de Castilla y Nueva Castilla IED; cerca a universidad Agustiniana; cerca a paraderos del SITP; Vías de acceso por Calle 7D y Carrera 81. ",CASTILLA
Rincón de Granda 4,167000,3,14,No,66.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,235000000.0,Diagonal 77b # 116b - 55,Rincón de Granda 4,"Apartamento en venta de 66m2, con vista interior, ubicado en un 5to piso (Torre 6 Apto 501), acceso por escaleras. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con parque infantil, zonas verdes, salon comunal y vigilancia privada las 24 horas. Cerca a centro comercial Unicentro de Occidente; cerca a almacenes de cadena como D1, Exito y Colsubsidio; cerca a colegio Catolico de la Sabana; cerca a paraderos del SITP; Vías de acceso por Calle 80 y Diagonal 77B.",GARCES NAVAS
Edificio Alianza,150000,6,26,No,97.0,3,2,2,1,Apartamento,1,24 hrs,No Tiene,No,No,464400000.0,Calle 116#14B-6,Edificio Alianza,"Apartamento en venta de 97m2, con vista interior, ubicado en un 2do piso (Apto 205), acceso por ascensor, parqueadero propio cubierto (16). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso alfombrado en habitaciones y zona social y cerámico en baños y cocina.El edificio cuenta con salon comunal y vigilancia privada las 24 horas. Cerca a centro comercial Starco y Av. 15; cerca a almacenes de cadena como Oxxo, D1 y Ara; cerca a colegio Rafik Liceo Segovia; cerca a universidad del Sinú; cerca a estación de Transmilenio Pepe Sierra; vías de acceso por la Calle 26 y Carrera 15.",SANTA BARBARA
Torre San Marino,448000,4,10,Si,73.0,1,2,1,1,Apartamento,1,24 hrs,No Tiene,Si,Si,482000000.0,Carrera 9 # 127c - 36,Torre San Marino,"Apartamento en venta de 73m2, con vista exterior, ubicado en un 4to piso (Apto 405), acceso por ascensor y escaleras, parqueadero propio cubierto (38) y depósito (38). Consta de 1 habitación, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con salón comunal, zona BBQ y gimnasio y vigilancia privada las 24 horas. Cerca a centro comercial Unicentro; cerca a almacenes de cadena Éxito; cerca a colegio Gimnasio Femenino; cerca a universidad El Bosque; cerca a estación de Transmilenio Prado; Vías de acceso por la Carrera 9na y Calle 127.",USAQUEN
Gerona del Cipres,130400,3,6,No,50.0,3,1,0,2,Apartamento,0,24 hrs,No Tiene,Si,Si,154000000.0,Carrera 126 # 17f - 80,Gerona del Cipres,"Apartamento en venta de 50m2, con vista exterior, ubicado en un 15avo piso (Torre 2 Apto 1506), acceso por ascensor. Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto zonas verdes, zona BBQ, piscina(en construcción), cuenta con 2 salones sociales, parque infantil, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial La Esperanza; cerca a almacenes de cadena como Tiendas D1, Ara; cerca a colegio El Refugio; cerca a paraderos del SITP; Vías de acceso por la calle 17.",FONTIBON SAN PABLO
El Cortijo Ocre,135000,3,39,No,57.0,3,1,1,0,Apartamento,1,24 hrs,No Tiene,Si,Si,213000000.0,Carrera 118 # 80a - 80,El Cortijo Ocre,"Apartamento en venta de 57m2, con vista interior, ubicado en un 4to piso (Torre 4 Apto 410). Consta de 3 habitaciones,1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona social, parque infantil y vigilancia privada las 24 horas. Cerca a Centro Comercial El Cortijo; cerca a tiendas de barrio; cerca a colegio Ciudadela Colsubsidio; cerca a paraderos SITP; Vías de acceso por la Carrera 118 y Calle 82.",BOLIVIA
Edificio San Pedro del Batán ,220000,5,3,No,68.0,2,2,1,1,Apartamento,0,No,No Tiene,Si,Si,418000000.0,Carrera 48 # 124 - 69,Edificio San Pedro del Batán,"Apartamento en venta de 68m2, con vista exterior, ubicado en un 2do piso (Apto 202), acceso por ascensor, parqueadero propio cubierto (11). Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El Edificio cuenta con salón comunal, terraza y vigilancia privada las 24 horas de control y chip de seguridad. Cerca a centro comercial Fiesta Suba; cerca a almacenes de cadena Carulla Alhambra; cerca a colegio Renfort ; cerca a universidad America; cerca a estación de Transmilenio Calle 127; Vías de acceso por la Autopista Norte y Calle 127",LA ALHAMBRA
Reserva de Galicia,83300,3,12,No,48.0,2,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,No,155000000.0,Calle 62A # 73C - 21,Reserva de Galicia,"Apartamento en venta de 48m2, con vista interior, ubicado en un 6to piso (Torre 13 Apto 652), acceso por escaleras. Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zona de niños, zonas verdes, piscina, gimnasio, 2 salones comunales, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centros comerciales El Ensueño, Metrosur y Perdomo; cerca a almacenes de cadena D1, Dollar City, Justo & Bueno y Éxito ; cerca a colegio Distrital Cundinamarca, La Nueva Estancia, Nueva Colombia, entre otros; cerca a universidades Santo Tomás Centro Multimodal; cerca a estación de Transmilenio Portal del Sur; Vías de acceso por la Calle 60a Sur y Cra 73.",ISMAEL PERDOMO
Capri,57000,2,7,Si,41.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,102000000.0,Calle 130Bis Sur # 14 - 70,Capri,"Apartamento en venta de 41m2, con vista exterior, ubicado en un 6to piso (Torre 15 Apto 601), acceso por escaleras. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona infantil, salón social, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Altavista; cerca a almacenes de cadena como Surtimax, D1 y Arao; cerca a colegios Francisco Antonio Zea, Brazuelos y Los Comuneros Oswaldo Guayasamín; cerca a universidad Antonio Nariño; cerca a paraderos del SITP; Vías de acceso por la Calle 136 A Sur y Carrera 4.
",CIUDAD USME
Tierra Buena Reservado 2,66800,2,12,No,42.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,130000000.0,Cra. 98 #2-32,Tierra Buena Reservado 2,"Apartamento en venta de 42m2, con vista interior, ubicado en un 5to piso (Torre 10 Apto 501), acceso por escalera. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso ceramico en todas sus zonas . El conjunto cuenta con zonas verdes, zona para niños, salón comunal, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centros comerciales Parque Central Primavera, Tintal Plaza; cerca a almacenes de cadena como D1, Isimo y Ara; cerca a colegio Distrital Codema, Distrital Los Alpes, Colegio Cafam Bella Vista; cerca a rutas alimentadoras y de SITP; Vías de acceso por la Transversal 97A y Carrera 98.",CALANDAIMA
Navarra,142600,3,0,No,35.0,1,1,0,1,Apartamento,0,24 hrs,Comunal,Si,Si,205000000.0,Carrera 8 # 170 - 52,Navarra,"Apartamento en venta de 35m2, con vista exterior, ubicado en un 20avo piso (Torre 8 Apto 2010), acceso por ascensor. Consta de 1 habitacion, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zonas verdes, zona BBQ, salón de juegos, gimnasio, coworking, parqueadero comunal, salon social, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Palatino; cerca a almacenes de cadena como D1; cerca a colegio Gimnasio José Joaquín Casas; cerca a universidad de la salle sede norte; cerca a paraderos del SITP; Vías de acceso por carrera 7ma, calle 170 y calle 173.",LA URIBE
Santa Carolina 1,180000,3,32,No,59.0,3,2,1,0,Apartamento,0,24 hrs,No Tiene,Si,No,250000000.0,Carrera 51 # 167-50,Santa Carolina 1,"Apartamento en venta de 59m2, con vista exterior, ubicado en un 5to piso (Torre 1 Apto 503), acceso por escaleras, parqueadero propio (56). Consta de 3 habitaciones, 2 baños, sala comedor, zona de estudio, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con salón comunal, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Parque La Colina  y Paseo San Rafael; cerca a almacenes de cadena como Carulla, D1, Ara y Olímpica; cerca a colegios como Bethlemitas y Santo Tomás de Aquino; cerca a estación de Transmilenio Calle 142; Vías de acceso por la calle 138 y Autopista Norte.",BRITALIA
Castilla La Nueva,202500,3,3,No,68.0,3,2,1,3,Apartamento,0,24 hrs,No Tiene,Si,Si,320000000.0,CL 10 B # 81 F - 20,Castilla La Nueva,"Apartamento en venta de 68m2, con vista interior, ubicado en un 21avo piso (Torre 2 Apto 2102), acceso por escaleras, parqueadero propio cubierto (281) y depósito (287). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con zonas verdes, zona para niños, 3 salones comunales, piscina, mini market y vigilancia privada las 24 horas. Cerca a centros comerciales Ciudad Tintal y Tintal Plaza; cerca a almacenes de cadena como Homecenter, Éxito, Jumbo y Cafam; cerca a colegios Agustiniano Tagaste y Gabriel Betancourt Mejia; cerca a universidad Uniagustiniana; cerca a estacion de Transmilenio Banderas; Vías de acceso por la Calle 10 y Avenida Carrera 88d.",CASTILLA
Teca,367000,4,4,Si,71.0,3,2,1,1,Apartamento,1,24 hrs,No Tiene,Si,Si,456500000.0,Calle 152c # 72 - 87,Teca,"Apartamento en venta de 72m2, con vista interior, ubicado en un 7mo piso (Torre 1 Apto 702), acceso por ascensor, parqueadero propio cubierto (179) y depósito (79). Consta de 3 habitaciones, 2 baños, sala comedor, balcón (2m2), cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con salón comunal, zona BBQ, parque infantil y vigilancia privada las 24 horas. Cerca a centro comercial Parque La Colina; cerca a almacenes de cadena como Éxito, Carulla y Farmatodo; cerca a Colegio Marymount; cerca a estacion de Transmilenio Mazurén; Vías de acceso por la Calle 153 y Av. Boyacá.",CASA BLANCA SUBA
Parque Imperial,250000,3,14,No,78.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,341480000.0,Calle 151C # 107 - 10,Parque Imperial,"Apartamento en venta de 78m², con vista exterior, ubicado en un 6to piso (Int 4 Apto 604), acceso por ascensor, parqueadero propio (93).  Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en zona social y habitaciones; piso cerámico en cocina y baños. El conjunto cuenta con salón social, gimnasio, zonas verdes, zona de niños, cancha múltiple, terraza BBQy vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial; cerca a almacenes de cadena como Éxito y Jumbo; cerca a colegio Happy Kids ; cerca a universidad Cun ; cerca a estación de Transmilenio Portal Suba y paraderos del SITP ; Vías de acceso por Calle 151 C y Carrera 104.",SUBA
Mirador de Usme 2,45000,2,15,No,55.0,3,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,117000000.0,Calle138a sur # 14i-39,Mirador de Usme 2,"Apartamento en venta de 55m2, con vista exterior, ubicado en un 4to piso (Torre 2 Apto 403), acceso por escaleras. Consta de 3 habitaciones, 1 baño, sala comedor, cocina y zona de lavandería. Tiene piso laminado en habitaciones, zona social y cerámico en baño y cocina. El conjunto cuenta con salón social, parque infantil, zonas verdes y vigilancia privada las 24 horas. Cerca a centro comercial Altavista; cerca a almacenes de cadena como Surtimax, D1 y Ara; cerca a colegios Francisco Antonio Zea, Brazuelos y Los Comuneros Oswaldo Guayasamín; cerca a universidad Antonio Nariño; Vías de acceso por la Calle 138 A Sur y Carrera 14i.",CIUDAD USME
El Recuerdo 2,515000,4,29,Si,104.0,3,3,1,1,Apartamento,1,24 hrs,Comunal,Si,No,470000000.0,calle 25 # 40 - 50,El Recuerdo 2,"Apartamento en venta de 104m2, con vista exterior, ubicado en un 1er piso (Apto 101), parqueadero propio cubierto (11). Consta de 3 habitaciones, 3 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con vigilancia privada las 24 horas. Cerca a centros comerciales como Cipres Plaza, CC Gran Estacion; cerca a almacenes de cadena como D1, Éxito, Colsubsidio, Surtimax; cerca a colegio El Carmelo, IED La Merced; cerca a Universidad Nacional de Colombia, Uniempresarial; cerca a estación de Transmilenio Recinto Ferial y Quinta Paredes; Vías de acceso por la Calle 26 y Calle 25",QUINTA PAREDES
