conjunto,administración,estrato,antiguedad,remodelado,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,deposito,porteria,zona_de_lavanderia,gas,parqueadero,precio,direccion,nombre,descripcion,barrio
Los Naranjos,244200,4,35,Si,62.0,2,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,296600000.0,Carrera 8a# 152-25,Los Naranjos,"Apartamento en venta de  62m2, con vista exterior, ubicado en 1er piso (Torre 3 Apto 103), acceso por escaleras, parqueadero propio cubierto (61). Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto  cuenta con salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Cedritos 151; cerca a almacenes de cadena Homecenter; cerca a colegio Winsor ; cerca a universidad El Bosque; cerca a paraderos de SITP; Vías de acceso por la calle 153 y carrera 9na.",LOS CEDROS
Parques de Castilla ,91100,3,14,No,56.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,218900000.0,Carrera 79 # 10d-95,Parques de Castilla,"Apartamento en venta de 56m2, con vista interior, ubicado en un 6to piso (Torre 22 Apto 601), acceso por escaleras. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con zonas verdes, gimnasio al aire libre, salones comunales, zona bbq y vigilancia privada las 24 horas. Cerca a centro comercial Avenida Chile; cerca a almacenes de cadena Tienda D1 Villa Alsacia; cerca a colegio Distrital Gustavo Rojas Pinilla; cerca a universidad de América; cerca a estación de Paradero SITP Cl 11A - Tv 78D-36; Vías de acceso por la Calle 11Ay Carrera 79.",CASTILLA
San Felipe Algeciras,477000,5,36,Si,72.0,3,2,1,1,Apartamento,1,24 hrs,No Tiene,Si,Si,395700000.0,Calle 118 # 53a - 33,San Felipe Algeciras,"Apartamento en venta de 72m2, con vista exterior, ubicado en un 2do piso (Torre 1 Apto 215), acceso por ascensor y escaleras, parqueadero propio cubierto (75) y depósito (29). Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social cerámico y cerámico en baños y cocina. El conjunto cuenta con zona de niño, plazoletas de descanso, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Alahambra Plaza; cerca a almacenes de cadena Home Sentry; cerca a colegio Jonathan Swift ; cerca a universidad Uniagustiniana; cerca a estación de Transmilenio Pepe Sierra; Vías de acceso por la autopista norte y calle 116.",LA ALHAMBRA
Javid,564000,5,18,Si,81.0,2,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,No,385000000.0,Carrera 53 #103B-52,Javid,"Apartamento en venta de 81 m2, con vista interior, ubicado en un 3er piso (Apto 303), acceso por ascensor, parqueadero propio cubierto (11). Consta de 2 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El edificio cuenta con vigilancia privada las 24 horas. Cerca a centro comercial Alhambra; cerca a almacenes de cadena como D1, Ara Y Éxito; cerca al colegio Moderno John Dewey; cerca a universidad de América; cerca a estación de Transmilenio Calle 106 paraderos del SITP; Vías de acceso por calle 103 y carrera 53.",LA ALHAMBRA
La Armonía Parque,145000,3,9,No,47.0,3,2,1,1,Apartamento,0,24 hrs,No Tiene,Si,Si,228400000.0,Calle 7d # 81b-03,La Armonía Parque,"Apartamento en venta de 47m2, con vista interior, ubicado en un 5to piso (Torre 6 Apto 504), acceso por ascensor. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina, El conjunto cuenta con salón comunal, zonas verdes, zona para niños, parqueadero comunal y vigilancia privada las 24 horas. Cerca a centro comercial Tintal Plaza y Ciudad Tintal; cerca a almacenes de cadena como Ara y D1; cerca a Colegio San José de Castilla y Nueva Castilla IED; cerca a universidad Agustiniana; cerca a paraderos del SITP; Vías de acceso por Calle 7D y Carrera 81. ",CASTILLA
Parques de Engativa,90000,2,11,Si,45.0,3,2,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,164000000.0,Carrera 116b # 70a-54,Parques de Engativa,"Apartamento en venta de 45m2, con vista exterior, ubicado en un 6to piso (Torre 4 Apto 602), acceso por escaleras, parqueadero comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con zona social, zonas verdes, salón comunal y vigilancia privada las 24 horas. Cerca a centro comercial Muisca; cerca a supermercados y tiendas de barrio; cerca a colegio Mayor de Engativá; cerca a paraderos del SITP; Cerca a Humedal; Vías de acceso por la carrera 116b y calle 70c.",ENGATIVA
Canelo ,74000,4,5,No,31.0,1,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,Si,186000000.0,Calle 172 a # 8 - 20,Canelo,"Apartamento en venta de 31m2 , con vista interior, ubicado en un 1er piso (Torre 3 Apto 101), parqueadero comuna. Consta de 1 habitación, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en la totalidad de los espacios del inmueble. El conjunto cuenta con salón social, zona infantil y vigilancia privada las 24 horas. Cerca a centro comercial Santa Fe; cerca a almacenes de cadena como Éxito, Easy; cerca a colegio Angloamericano, La Salle; cerca a universidad San Agustín, San Buenaventura; cerca a estación de Transmilenio Portal del Norte y paraderos del SITP ; Vías de acceso por Carrera 7ma y Calle 170, Calle 174.",LA URIBE
Bosque de Camino Verde,80000,3,17,Si,37.0,2,1,0,0,Apartamento,0,24 hrs,No Tiene,Si,Si,133500000.0,Avenida 153 #115-80,Bosque de Camino Verde,"Apartamento en venta de 37m2, con vista exterior, ubicado en un 5to piso (Torre 8 Apto 503), acceso por escaleras, parqueadero comunal. Consta de 2 habitaciones, 1 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico. El conjunto cuenta con zonas social, zonas verdes, parque infantil, zonas BBQ y vigilancia privada las 24 horas. Cerca a centro comercial Plaza Imperial; cerca a tiendas y supermercados de barrio; cerca a colegio Delia Zapata Olivella; cerca a paraderos del SITP; Vías de acceso por la Carrera 111a y Avenida Calle 13.",SUBA
Mirador de Jaboque,91800,2,3,No,38.0,1,1,0,1,Apartamento,0,24 hrs,No Tiene,Si,No,132800000.0,Calle 70abis # 121a - 30,Mirador de Jaboque,"Apartamento en venta de 38m2, con vista interior, ubicado en un 1er piso (Torre 2 Apto 104), parqueadero comunal. Consta de 1 habitación, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baño y cocina. El conjunto cuenta con gimnasio, salón social, salón de juegos y vigilancia privada las 24 horas. Cerca a centro comercial Ronda del Rio ; cerca a almacenes de cadena como D1; cerca a colegio Campestre los Pinos; cerca a universidad Nacional; cerca a estación de Transmilenio Portal el Dorado; Vías de acceso por la Carrera 120 A y Calle 70 A.",ENGATIVA
Castilla La Nueva 1,227000,3,4,No,77.0,3,2,1,4,Apartamento,1,24 hrs,No Tiene,Si,Si,353300000.0,Calle 10B # 81F-20,Castilla La Nueva 1,"Apartamento en venta de 77 m2, con vista exterior, ubicado en un 5to piso (Torre 2 Apto 512), acceso por ascensor, parqueadero propio cubierto (79) y deposito (338). Consta de 3 habitaciones, 2 baños, sala comedor, sala de estar, balcón, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con zonas verdes, zona para niños, 3 salones comunales, piscina, mini market y vigilancia privada las 24 horas. Cerca a centros comerciales Ciudad Tintal y Tintal Plaza; cerca a almacenes de cadena como Homecenter, Éxito, Jumbo y Cafam; cerca a colegios Agustiniano Tagaste y Gabriel Betancourt Mejía; cerca a universidad Uniagustiniana; cerca a estacion de Transmilenio Banderas; Vías de acceso por la Calle 10 y Avenida Carrera 88d.",CASTILLA
