administración,estrato,antiguedad,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,porteria,precio,Localidad,Tasa_Homicidios_100k,Tasa_Hurtos_100k,incluye_remodelado,incluye_deposito,incluye_zona_de_lavanderia,incluye_gas,incluye_parqueadero
198900,3,20,65.0,3,2,0,0,Apartamento,24 hrs,265000000.0,ENGATIVA,11.3,790.0,True,False,False,True,False
195000,3,28,62.0,3,2,0,0,Apartamento,24 hrs,237000000.0,ENGATIVA,11.3,790.0,True,False,False,True,True
173000,3,20,69.0,3,2,1,0,Apartamento,24 hrs,240000000.0,SUBA,9.8,750.0,True,False,False,True,True
55000,2,11,45.0,2,1,0,0,Apartamento,24 hrs,115471000.0,USME,18.9,680.0,True,False,False,True,True
79800,2,17,32.0,2,1,0,0,Apartamento,24 hrs,112000000.0,KENNEDY,25.4,950.0,True,False,False,True,False
174000,3,32,53.0,3,2,0,0,Apartamento,24 hrs,220000000.0,PUENTE ARANDA,15.9,870.0,True,False,False,True,False
68000,2,17,38.0,2,1,0,0,Apartamento,24 hrs,116000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
66000,2,15,42.0,3,1,0,0,Apartamento,24 hrs,128000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
125000,4,15,52.0,3,2,0,0,Apartamento,24 hrs,239200000.0,KENNEDY,25.4,950.0,True,False,False,True,True
345000,4,6,74.0,3,2,1,1,Apartamento,24 hrs,405000000.0,SUBA,9.8,750.0,True,False,False,True,True
0,4,13,117.0,3,2,2,1,Apartamento,24 hrs,550000000.0,USAQUEN,8.5,850.0,True,True,False,True,True
420000,5,28,77.0,2,2,1,1,Apartamento,24 hrs,387000000.0,SUBA,9.8,750.0,True,True,False,True,True
320000,3,30,65.0,3,2,1,0,Apartamento,24 hrs,340000000.0,SUBA,9.8,750.0,True,False,False,True,False
130000,3,2,50.0,3,1,0,1,Apartamento,24 hrs,150000000.0,FONTIBON,10.1,810.0,True,False,False,True,True
40000,2,7,45.0,2,1,0,0,Apartamento,24 hrs,85000000.0,USME,18.9,680.0,True,False,False,True,False
500000,4,35,143.0,3,3,1,0,Apartamento,No,615000000.0,BARRIOS UNIDOS,7.7,920.0,True,False,False,True,False
140000,3,11,41.0,2,1,0,0,Apartamento,24 hrs,170000000.0,USAQUEN,8.5,850.0,True,False,False,True,True
388500,5,32,51.0,1,1,1,1,Apartamento,24 hrs,356000000.0,CHAPINERO,5.2,1050.0,True,False,True,True,True
100000,2,10,48.0,3,1,0,0,Apartamento,24 hrs,134000000.0,USAQUEN,8.5,850.0,True,True,False,True,True
599999,4,20,86.0,3,2,1,1,Apartamento,24 hrs,525000000.0,CHAPINERO,5.2,1050.0,True,True,True,True,False
297000,4,29,76.0,3,2,1,0,Apartamento,No,392000000.0,SUBA,9.8,750.0,True,False,False,True,True
120000,3,20,82.0,4,2,0,0,casa con conjunto cerrado,24 hrs,275000000.0,SUBA,9.8,750.0,True,False,False,True,True
140000,3,31,65.0,3,2,0,0,Apartamento,24 hrs,263150000.0,PUENTE ARANDA,15.9,870.0,True,False,False,True,True
198000,3,20,57.0,3,2,1,0,Apartamento,24 hrs,242000000.0,ENGATIVA,11.3,790.0,True,False,False,True,False
40000,2,8,38.0,2,1,0,0,Apartamento,24 hrs,95000000.0,USME,18.9,680.0,True,False,False,True,True
358000,3,19,74.0,3,3,2,0,Casa,24 hrs,355000000.0,SUBA,9.8,750.0,True,False,False,True,False
94500,2,16,45.0,3,1,0,0,Apartamento,24 hrs,155500000.0,ENGATIVA,11.3,790.0,True,False,False,True,False
207500,3,14,67.0,3,2,0,1,Apartamento,24 hrs,295000000.0,SUBA,9.8,750.0,True,False,True,True,True
121400,3,12,60.0,3,2,0,0,Apartamento,24 hrs,190000000.0,SUBA,9.8,750.0,True,False,False,True,False
132900,3,20,55.0,3,2,0,0,Apartamento,24 hrs,247000000.0,SAN CRISTOBAL,12.8,720.0,True,False,False,True,True
78300,2,14,47.0,3,1,0,0,Apartamento,24 hrs,139000000.0,KENNEDY,25.4,950.0,True,False,False,True,False
78300,2,14,47.0,3,1,0,0,Apartamento,24 hrs,134000000.0,KENNEDY,25.4,950.0,True,False,False,True,False
181100,2,11,44.0,2,1,0,0,Apartamento,24 hrs,160000000.0,SUBA,9.8,750.0,True,False,False,True,False
95700,3,7,45.0,3,1,0,1,Apartamento,24 hrs,154000000.0,RAFAEL URIBE URIBE,17.1,700.0,True,False,False,True,True
82000,2,16,42.0,3,1,0,0,Apartamento,24 hrs,140000000.0,KENNEDY,25.4,950.0,True,False,False,True,True
102000,2,6,47.0,2,1,0,1,Apartamento,24 hrs,166000000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,True,True,False
160600,4,12,61.0,3,2,0,0,Apartamento,24 hrs,255000000.0,USAQUEN,8.5,850.0,True,False,True,True,True
70000,3,9,47.0,3,1,0,0,Apartamento,24 hrs,174500000.0,CIUDAD BOLIVAR,35.0,650.0,True,False,False,True,True
