administración,estrato,antiguedad,área,habitaciones,baños,garajes,elevadores,tipo_de_inmueble,porteria,precio,Localidad,Tasa_Homicidios_100k,Tasa_Hurtos_100k,incluye_remodelado,incluye_deposito,incluye_zona_de_lavanderia,incluye_gas,incluye_parqueadero,log_precio
274000,3,18,83.0,3,2,1,0,casa con conjunto cerrado,24 hrs,334000000.0,SUBA,9.8,750.0,True,False,False,True,True,19.626651553934988
224000,3,29,39.0,1,1,0,0,Apartamento,No,192000000.0,SUBA,9.8,750.0,True,False,False,True,False,19.07300593520039
74000,3,16,44.0,2,1,0,0,casa con conjunto cerrado,24 hrs,163800000.0,SUBA,9.8,750.0,True,False,False,True,True,18.91415673548825
103000,3,22,53.0,3,1,0,0,Apartamento,24 hrs,165000000.0,SUBA,9.8,750.0,True,False,False,True,True,18.92145603792546
113000,3,23,53.0,3,1,0,0,Apartamento,No,164000000.0,SUBA,9.8,750.0,True,False,False,True,False,18.915376991886035
464000,6,18,61.0,1,2,1,1,Apartamento,24 hrs,341100000.0,USAQUEN,8.5,850.0,True,False,False,True,True,19.647686250320564
100000,2,8,49.0,3,2,0,0,Apartamento,24 hrs,147000000.0,BOSA,21.5,880.0,False,False,False,False,True,18.80594315154573
110000,2,13,59.0,3,2,0,0,Apartamento,24 hrs,155000000.0,SUBA,9.8,750.0,True,False,False,True,True,18.858935681335133
112600,3,5,45.0,3,1,0,2,Apartamento,24 hrs,167500000.0,SAN CRISTOBAL,12.8,720.0,True,False,False,True,True,18.936493915199545
56000,2,14,40.0,3,1,0,0,Apartamento,24 hrs,113200000.0,KENNEDY,25.4,950.0,True,False,False,True,True,18.54466673256728
100000,3,16,56.0,3,2,0,0,Apartamento,24 hrs,226000000.0,KENNEDY,25.4,950.0,True,False,False,True,True,19.23604556166134
167000,3,11,50.0,3,2,0,1,Apartamento,24 hrs,180000000.0,USAQUEN,8.5,850.0,True,False,False,True,True,19.00846741441004
437100,4,16,110.0,3,2,1,1,Apartamento,24 hrs,560000000.0,USAQUEN,8.5,850.0,True,True,False,True,True,20.143447343479185
68000,3,5,56.0,2,2,1,0,Apartamento,No,235000000.0,FONTIBON,10.1,810.0,True,False,False,True,False,19.275096076363752
